tag,sentiment_1,sentiment_2,sentiment_3
Sing,interpret',render'],sing']
XXX,large_integer'],,
Aria,song',vocal'],
Tonight,present',nowadays'],
Tonight,present',nowadays'],
Movie,product',production'],show']
movie,product',production'],show']
Movie,product',production'],show']
movie,product',production'],show']
movie,product',production'],show']
Movie,product',production'],show']
movie,product',production'],show']
Women,adult',grownup'],female'
Sing,interpret',render'],sing']
KINDLE,flare_up'],,
BOOK,publication'],,
AMAZON,woman',adult_female'],
marathon,undertaking',project',task'
favorite,choice',pick',selection']
Giveaway,gift'],,
Giveaway,gift'],,
Giveaway,gift'],,
Giveaway,gift'],,
Twitch,spasm',cramp',muscle_spasm']
Amazon,woman',adult_female'],
recipes,direction',instruction'],
food,substance'],,
cooking,change_of_state'],,
delicious,eating_apple',dessert_apple'],
cook,skilled_worker',trained_worker',skilled_workman']
recipe,direction',instruction'],
Art,creation'],,
np,metallic_element',metal'],
hydraulics,mechanics'],,
Bordellos,building',edifice'],
nw,compass_point',point'],
retail,selling',merchandising',marketing']
conservation,improvement',betterment',advance']
conservation,improvement',betterment',advance']
Culture,society'],,
Beauty,appearance',visual_aspect'],
horror,fear',fearfulness',fright']
twitch,spasm',cramp',muscle_spasm']
SEN,fractional_monetary_unit',subunit'],
Role,duty'],,
Movie,product',production'],show']
Actor,performer',performing_artist'],
accounting,explanation',account'],
kittens,young_mammal'],,
Bible,sacred_text',sacred_writing',religious_writing'
Bible,sacred_text',sacred_writing',religious_writing'
Bible,sacred_text',sacred_writing',religious_writing'
Bible,sacred_text',sacred_writing',religious_writing'
Bible,sacred_text',sacred_writing',religious_writing'
Hulk,large_person'],,
Vision,imagination',imaging',imagery'
Falcon,hawk'],,
Mantis,dictyopterous_insect'],,
IronMan,man',adult_male'],
IronMan,man',adult_male'],
strippers,compound',chemical_compound'],
ebony,black',blackness',inkiness']
ass,body_part'],,
heroin,hard_drug'],opiate'],
Action,act',deed',human_action'
Oscar,award',accolade',honor'
kayak,canoe'],,
crocodiles,crocodilian_reptile',crocodilian'],
Bruins,bear'],,
Leafs,plant_organ'],,
watchmen,guard'],,
Love,emotion'],,
Russian,native',indigen',indigene'
Premier,head_of_state',chief_of_state'],
IronMan,man',adult_male'],
IronMan,man',adult_male'],
IronMan,man',adult_male'],
IronMan,man',adult_male'],
wimp,weakling',doormat',wuss']
nw,compass_point',point'],
rip,libertine',debauchee',rounder']
Skyscraper,building',edifice'],
Raiders,thief',stealer'],
IronMan,man',adult_male'],
job,activity'],,
art,creation'],,
books,publication'],,
Bumblebee,bee'],,
Bumblebee,bee'],,
Bumblebee,bee'],,
cars,motor_vehicle',automotive_vehicle'],
motor,machine'],,
Vip,important_person',influential_person',personage']
Cars,motor_vehicle',automotive_vehicle'],
cars,motor_vehicle',automotive_vehicle'],
motor,machine'],,
crime,transgression',evildoing'],
paperback,book',volume'],
winning,success'],,
np,metallic_element',metal'],
deal,transaction',dealing',dealings']
sale,selling',merchandising',marketing']
character,imaginary_being',imaginary_creature'],
cartoon,wit',humor',humour'
drawing,artwork',art',graphics'
art,creation'],,
quote,punctuation',punctuation_mark'],
women,adult',grownup'],female'
venom,animal_toxin',zootoxin'],
Empire,domain',demesne',land']
music,auditory_communication'],,
rapper,singer',vocalist',vocalizer'
film,product',production'],show']
film,product',production'],show']
emissions,egress',egression',emergence']
porn,creation',creative_activity'],
blowjob,fellatio',fellation'],
Macron,diacritical_mark',diacritic'],
Bond,attraction',attractive_force'],
Special,offer',offering'],
Empire,domain',demesne',land']
mom,mother',female_parent'],
Empire,domain',demesne',land']
Bahai,disciple',adherent'],teacher'
MasterMinds,creator'],,
Hacking,cut'],,
cinematographer,photographer',lensman'],
crybaby,weakling',doormat',wuss']
crime,transgression',evildoing'],
movies,product',production'],show']
Film,product',production'],show']
Review,appraisal',assessment'],
Fantasy,imagination',imaginativeness',vision']
blog,diary',journal'],
Film,product',production'],show']
Review,appraisal',assessment'],
Fantasy,imagination',imaginativeness',vision']
blog,diary',journal'],
Trading,commerce',commercialism',mercantilism']
Pacers,racehorse',race_horse',bangtail']
love,emotion'],,
ballad,song',vocal'],
devotion,love'],,
togetherness,closeness',intimacy'],
rap,reproach'],,
trap,device'],,
jazz,talk',talking'],
man,adult',grownup'],male'
woman,adult',grownup'],female'
Privacy,reclusiveness'],,
Russian,native',indigen',indigene'
FBI,law_enforcement_agency'],,
espionage,spying',undercover_work'],
cyberwar,terrorism',act_of_terrorism',terrorist_act']
hacking,cut'],,
security,safety'],,
government,polity'],,
Canadians,North_American'],,
spying,watch',vigil'],
