text,possibleCorrectness
hanyu,Hanny
hanyu,Hangul
hanyu,hangup
hanyu,handy
olympics,Olympics
pyeongchang,moneychangers
pyeongchang,Pyongyang
pyeongchang,shortchange
pyeongchang,interchange
goldmedal,goldmine
goldmedal,Goldman
goldmedal,goldenseal
goldmedal,goldenrod
goldmedalist,medalist
goldmedalist,medievalist
goldmedalist,feudalistic
goldmedalist,fundamentalist
sendai,Sendai
japanese,Japanese
tessavirtue,virtuousness
tessavirtue,tessellate
tessavirtue,tessellation
tessavirtue,virtuosoes
scottmoir,Scottish
scottmoir,Scottie
scottmoir,Scotty's
scottmoir,Scottsdale
skatecanada,skateboard
skatecanada,Saskatchewan
skatecanada,skater
skatecanada,Canadianism
starsonicecanada,supersonically
starsonicecanada,personification
starsonicecanada,ultrasonically
figureskating,figurativeness
figureskating,rollerskating
figureskating,figurehead
figureskating,figuration
icedance,impedance
icedance,guidance
icedance,riddance
icedance,abidance
teamcanada,teammate
teamcanada,Canadianism
teamcanada,Canada
teamcanada,teamwork
canada,Canada
followme,follower
followme,followup's
followme,follow
followme,fellowmen
soijapan,Japanese
soijapan,japanning
soijapan,japanned
soijapan,japanner
patrickchan,Patrick
patrickchan,patrician
patrickchan,patriarchal
patrickchan,patriarchate
shomauno,showman
shomauno,shogunate
shomauno,shoemake
shomauno,shotgun
javierfernandez,Fernandez
javierfernandez,Hernandez
javierfernandez,Fernande
javierfernandez,Fernandina
ericradford,Bradford
ericradford,eradicator
ericradford,eradication
ericradford,Ericsson's
starsonice,supersonic
starsonice,starstruck
starsonice,starship
starsonice,hypersonic
gabbydaleman,garbageman
gabbydaleman,gentlemanly
gabbydaleman,Beatlemania
gabbydaleman,stableman
goldmedalists,medalists
goldmedalists,medalist
goldmedalists,medievalists
goldmedalists,fundamentalists
jeffcablephotography,telephotography
jeffcablephotography,photographically
jeffcablephotography,photography
jeffcablephotography,photographer
drobo,droop
drobo,drool
drobo,drove
drobo,drown
redvelvet,velveteen
redvelvet,velvety
redvelvet,Velvet
redvelvetofficial,semiofficial
redvelvetofficial,officialdom
redvelvetofficial,officialism
redvelvetofficial,nonofficial
redvelvetirene,repetitiveness
redvelvetirene,retiredness
redvelvetirene,relativeness
redvelvetirene,Helvetian
irene,Irene
headiner,headier
headiner,headliner
showrehearsal,rehearsal
showrehearsal,rehearsed
showrehearsal,rehearser
showrehearsal,rehearse
vanlife,vandalize
vanlife,vandalism
vanlife,Vannie
vanlife,vanisher
winterolympics,wintertimes
winterolympics,wintergreens
winterolympics,winterizes
winterolympics,Olympics
southkorea,southeaster
southkorea,Southeast
southkorea,Southerner
filmphotography,telephotography
filmphotography,photography
filmphotography,photographically
filmphotography,photographic
canonf,canon
canonf,canons
filmisnotdead,filminess
shootanalog,sharpshooting
shootanalog,analogous
shootanalog,analogical
shootanalog,shootout
iso,ISO
iso,so
iso,is
iso,ipso
iso,isl
iso,ism
keepitanalog,goalkeeping
keepitanalog,analogousness
keepitanalog,peacekeeping
keepitanalog,keeping
filmphotographic,photographically
filmphotographic,photographic
filmphotographic,telephotography
filmphotographic,cinematographic
istillshootfilm,distillation
theanalogueproject,projectionist
theanalogueproject,analogue
streetphotography,telephotography
streetphotography,photography
streetphotography,photographically
streetphotography,photographer
fujifilm,Fujiyama
fujifilm,Fujitsu
fujifilm,fulfillment
fujifilm,Fuji
fuji,Fuji
superia,superior
superia,superintend
superia,superimpose
thebase,Thebault
thebase,Thebes
thebase,timebase
thebase,themas
anotherplace,another
anotherplace,hypnotherapy
